ID,command,encrypted_cmd
10,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
14,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
18,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
22,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
26,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
30,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
34,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
38,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
42,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
46,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
50,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
54,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
58,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
62,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},5111b27aba2a5019fee3fd957b67ae7ee003691e776e88a58e0b25912349d9a9d18319faf3a52d3dabbe6b1f08
62,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},5111b27aba2a5019fee3fd957b67ae7ee003691e776e88a58e0b25912349d9a9d18319faf3a52d3dabbe6b1f08
66,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
66,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
71,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
75,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
79,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
83,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
87,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
91,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
95,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
99,{'axes': {'0': 0.099822998046875, '1': 0.046661376953125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},70f6f5e128fad563da341609afea67cbf9eebbb886bb7bbc497af3ba28530198503f47ebece42936227e46575a
103,{'axes': {'0': 0.099822998046875, '1': 0.031219482421875, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},c1a7c40f828691b71032ac39840a01d80fc8f94a24c8988fa32e79d27ae5e0bc10a85c37a84b6c0ee102d251d1
103,{'axes': {'0': 0.099822998046875, '1': 0.031219482421875, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},c1a7c40f828691b71032ac39840a01d80fc8f94a24c8988fa32e79d27ae5e0bc10a85c37a84b6c0ee102d251d1
108,{'axes': {'0': 0.099822998046875, '1': 0.020355224609375, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},43308ff5995050195cde1d893c7b6c07661585df3e12a1301bf458345f6bc3ab041a7e5c490e9b601f7482e5be
108,{'axes': {'0': 0.099822998046875, '1': 0.020355224609375, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},43308ff5995050195cde1d893c7b6c07661585df3e12a1301bf458345f6bc3ab041a7e5c490e9b601f7482e5be
111,{'axes': {'0': 0.099822998046875, '1': 0.032196044921875, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9b06afccf39c72202eb770893eb727d0a6f37393617ce53703c0d513191517e292815b0cd952555d1371f13b0b
111,{'axes': {'0': 0.099822998046875, '1': 0.032196044921875, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9b06afccf39c72202eb770893eb727d0a6f37393617ce53703c0d513191517e292815b0cd952555d1371f13b0b
115,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6627ed5df6e11dd196906bc428a62c116ccf5e6fe042d078463897b08fba717c1199c005d1a86c184a625b3210
115,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6627ed5df6e11dd196906bc428a62c116ccf5e6fe042d078463897b08fba717c1199c005d1a86c184a625b3210
119,{'axes': {'0': 0.099822998046875, '1': 0.038330078125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},bbf6b24299c5feccab40d1b78c0847413be47caf2cd2f50759152c69b6bf42252ac1cefd20f830817dbe10f2f6
119,{'axes': {'0': 0.099822998046875, '1': 0.038330078125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},bbf6b24299c5feccab40d1b78c0847413be47caf2cd2f50759152c69b6bf42252ac1cefd20f830817dbe10f2f6
123,{'axes': {'0': 0.099822998046875, '1': 0.038330078125, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},bbf6b24299c5feccab40d1b78c0847413be47caf2cd2f50759152c69b6bf42252ac1cefd20f830817dbe10f2f6
127,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6627ed5df6e11dd196906bc428a62c116ccf5e6fe042d078463897b08fba717c1199c005d1a86c184a625b3210
127,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6627ed5df6e11dd196906bc428a62c116ccf5e6fe042d078463897b08fba717c1199c005d1a86c184a625b3210
131,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6627ed5df6e11dd196906bc428a62c116ccf5e6fe042d078463897b08fba717c1199c005d1a86c184a625b3210
136,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6627ed5df6e11dd196906bc428a62c116ccf5e6fe042d078463897b08fba717c1199c005d1a86c184a625b3210
140,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e42904aad763a5bf214d4fddca534ea95f242767a5d30839fe261b2d0a1efb8593f1dff530fb07748be033d49b
140,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e42904aad763a5bf214d4fddca534ea95f242767a5d30839fe261b2d0a1efb8593f1dff530fb07748be033d49b
144,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6627ed5df6e11dd196906bc428a62c116ccf5e6fe042d078463897b08fba717c1199c005d1a86c184a625b3210
144,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6627ed5df6e11dd196906bc428a62c116ccf5e6fe042d078463897b08fba717c1199c005d1a86c184a625b3210
148,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6627ed5df6e11dd196906bc428a62c116ccf5e6fe042d078463897b08fba717c1199c005d1a86c184a625b3210
152,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6627ed5df6e11dd196906bc428a62c116ccf5e6fe042d078463897b08fba717c1199c005d1a86c184a625b3210
156,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6627ed5df6e11dd196906bc428a62c116ccf5e6fe042d078463897b08fba717c1199c005d1a86c184a625b3210
160,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6627ed5df6e11dd196906bc428a62c116ccf5e6fe042d078463897b08fba717c1199c005d1a86c184a625b3210
164,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6627ed5df6e11dd196906bc428a62c116ccf5e6fe042d078463897b08fba717c1199c005d1a86c184a625b3210
168,{'axes': {'0': 0.099822998046875, '1': 0.035400390625, '2': -1.0, '3': 0.02935791015625, '4': 0.064788818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6627ed5df6e11dd196906bc428a62c116ccf5e6fe042d078463897b08fba717c1199c005d1a86c184a625b3210
