ID,command,encrypted_cmd
10,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
14,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
18,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
23,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
27,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
31,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
35,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
39,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
43,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
47,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
51,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
